postcode,state,primary_suburb,all_suburbs
2156,NSW,"ANNANGROVE","ANNANGROVE|NSW 2557 GLENHAVEN|KENTHURST"
2157,NSW,"CAMPBELLTOWN NORTH CANOELANDS","CAMPBELLTOWN NORTH CANOELANDS|FOREST GLEN|GLENORIE"
2158,NSW,"DURAL","DURAL|NSW 2430 DURAL DC|MIDDLE DURAL|ROUND CORNER"
2159,NSW,"ARCADIA","ARCADIA|BERRILEE|FIDDLETOWN|GALSTON"
2160,NSW,"MERRYLANDS","MERRYLANDS"
2161,NSW,"GUILDFORD","GUILDFORD|GUILDFORD WEST|OLD GUILDFORD|YENNORA"
2162,NSW,"CHARLES STURT UNIVERSITY CHESTER HILL","CHARLES STURT UNIVERSITY CHESTER HILL|SEFTON"
2163,NSW,"CARRAMAR","CARRAMAR|LANSDOWNE|NSW 2775 V VILLAWOOD"
2164,NSW,"SMITHFIELD","SMITHFIELD|SMITHFIELD WEST|WETHERILL PARK|WOODPARK"
2165,NSW,"QLD 4741 FAIRFIELD","QLD 4741 FAIRFIELD|FAIRFIELD EAST|FAIRFIELD WEST"
2166,NSW,"CANLEY HEIGHTS","CANLEY HEIGHTS|CANLEY VALE|CABRAMATTA|LANSVALE"
2167,NSW,"GLENFIELD","GLENFIELD"
2168,NSW,"ASHCROFT","ASHCROFT|BUSBY|CARTWRIGHT|HECKENBERG|GREEN VALLEY|HINCHINBROOK|MILLER|SADLEIR"
2170,NSW,"CASULA","CASULA|CASULA MALL|HAMMONDVILLE|LIVERPOOL|LURNEA|MOOREBANK|WARWICK FARM"
2171,NSW,"CARNES HILL","CARNES HILL|CECIL HILLS|ELIZABETH HILLS|HOXTON PARK|HORNINGSEA PARK|WEST HOXTON"
2172,NSW,"PLEASURE POINT","PLEASURE POINT|SALISBURY SOUTH DC SANDY POINT|VOYAGER POINT"
2173,NSW,"HOLSWORTHY","HOLSWORTHY|WATTLE GROVE"
2174,NSW,"EDMONDSON PARK","EDMONDSON PARK"
2175,NSW,"HORSLEY PARK","HORSLEY PARK"
2176,NSW,"ABBOTSBURY","ABBOTSBURY|BOSSLEY PARK|EDENSOR PARK|GREENFIELD PARK|PRAIRIEWOOD|ST JOHNS PARK|WAKELEY"
2177,NSW,"BONNYRIGG","BONNYRIGG|NSW 2720"
2178,NSW,"CECIL PARK","CECIL PARK|KEMPS CREEK|MOUNT VERNON"
2179,NSW,"AUSTRAL","AUSTRAL|LEPPINGTON"
2190,NSW,"CHARLES DARWIN CHERRY TREE HILL CHULLORA","CHARLES DARWIN CHERRY TREE HILL CHULLORA|GREENACRE|MOUNT LEWIS"
2191,NSW,"BELFIELD","BELFIELD"
2192,NSW,"BELMORE","BELMORE"
2193,NSW,"ASHBURY","ASHBURY|CANTERBURY|HURLSTONE PARK"
2194,NSW,"CAMPSIE","CAMPSIE"
2195,NSW,"LAKEMBA","LAKEMBA|LAKEMBA DC|WILEY PARK"
2196,NSW,"PUNCHBOWL","PUNCHBOWL|ROSELANDS"
2197,NSW,"BASS HILL","BASS HILL"
2198,NSW,"GEORGES HALL","GEORGES HALL"
2199,NSW,"YAGOONA","YAGOONA"
2200,NSW,"BANKSTOWN","BANKSTOWN|QLD 4301 CONDELL PARK|MANAHAN|MOUNT LEWIS"
2203,NSW,"DULWICH HILL","DULWICH HILL"
2204,NSW,"MARRICKVILLE","MARRICKVILLE"
2205,NSW,"ARNCLIFFE","ARNCLIFFE|TURRELLA|WOLLI CREEK"
2206,NSW,"CLEMTON PARK","CLEMTON PARK|EARLWOOD"
2207,NSW,"BARDWELL PARK","BARDWELL PARK|BARDWELL VALLEY|BEXLEY|BEXLEY NORTH|BEXLEY SOUTH"
2208,NSW,"KINGSWAY WEST","KINGSWAY WEST|KINGSGROVE"
2209,NSW,"BEVERLY HILLS","BEVERLY HILLS|NARWEE"
2210,NSW,"SA 5540 LUGARNO","SA 5540 LUGARNO|PEAKHURST|RIVERWOOD"
2211,NSW,"PADSTOW","PADSTOW|PADSTOW HEIGHTS"
2212,NSW,"REVESBY","REVESBY|REVESBY HEIGHTS|REVESBY NORTH"
2213,NSW,"EAST HILLS","EAST HILLS|PANANIA|PICNIC POINT"
2214,NSW,"MILPERRA","MILPERRA"
2216,NSW,"BANKSIA","BANKSIA|KYEEMAGH|ROCKDALE"
2217,NSW,"BEVERLEY PARK","BEVERLEY PARK|KOGARAH|KOGARAH BAY|MONTEREY|RAMSGATE|RAMSGATE BEACH"
2218,NSW,"ALLAWAH","ALLAWAH|CARLTON"
2219,NSW,"DOLLS POINT","DOLLS POINT|SANDRINGHAM|SANS SOUCI"
2220,NSW,"HURSTVILLE","HURSTVILLE"
2221,NSW,"BLAKEHURST","BLAKEHURST|CARSS PARK|CONNELLS POINT|KYLE BAY"
